关键词,页码,序号,书名,score
老人 书籍,4,17,【正版微瑕品】社区老年人认知障碍诊断与干预 李霞 编,28.659166666666664
老人 书籍,4,18,精装老年食养食补食疗大全书正版中医家庭药膳老年人健康饮食养生营养学食谱一日三餐书简单术后营养汤菜谱百病食疗 谱百病食疗,26.61208333333333
老人 书籍,4,19,301医院营养专家--老年人饮食营养一本通 营养一本通 营养一本通,24.564999999999998
老人 书籍,4,20,【京东物流包邮+次日达】中老年人健康呵护指南(高血压糖尿病认知障碍居家照护问答),22.517916666666668
老人 书籍,4,21,【京东物流包邮+次日达】食物寒凉温热属性功效速查手册 正版图书 养生保健 养生食疗 食物养生 饮食关注 中老年人饮食养生健康,20.470833333333335
老人 书籍,4,22,中老年人降血糖家庭用药宜忌糖尿病食疗食谱糖尿病患者康复 2册 糖尿病饮食调养+糖尿病吃什么宜忌速查,18.423750000000002
老人 书籍,4,23,中老年人降血糖家庭用药宜忌糖尿病食疗食谱糖尿病患者康复 3册 糖尿病+高血压+痛风饮食调养,16.37666666666667
老人 书籍,4,24,纯印 史纯印老人一生开示录 32开简体横排,14.329583333333328
老人 书籍,4,25,天海音外贸出口]新款中老年人电吹管乐器大全萨克斯电子吹管笛子初学者 【新款亮黑色】标配+教程曲谱书,12.282499999999995
老人 书籍,4,26,天海音外贸出口]新款中老年人电吹管乐器大全萨克斯电子吹管笛子初学者 新款亮黑色】+教学曲谱书+保护包,10.235416666666664
老人 书籍,4,27,【特价品】我给独居老人送便当摄影集 日文原版 ぼくは独り暮らしのの家に弁当を运ぶ 京都国际摄影节作品 日本摄影作品集画册 风车图书,8.18833333333333
老人 书籍,4,28,正版旧书 养生重在养心,6.141249999999998
老人 书籍,4,29,老年人健康膳食指导 图书,4.094166666666665
老人 书籍,4,30,\\x26lt语录版\\x26gt旧书正版真品原版送长辈礼物收藏怀旧老物件 标准 标准,2.0470833333333327
老人 书籍,4,31,老年人能力评估实务唐金容复旦大学出版社有限公司9787309172294 养生/保健,0.0
老人 书籍,4,32,【京东物流包邮+次日达】老人营养指导,-2.0470833333333394
老人 书籍,4,33,新华书店心的重建 露易丝海著 心理学书籍 张德芬心灵好心态哲理 心的重建正版心的重建 生命的重建,-4.094166666666665
老人 书籍,4,34,全2册 食养食补食疗大全书四季养生中医家庭药膳书籍老年人健康饮食养生营养学食谱一日三餐书简单术后营养畅销书,-6.141250000000005
老人 书籍,4,35,正版 梅花易数 邵雍著 梅花易数入门易经的关系周易五行天干地支 中国国学哲学经典 传统文化hn 统文化hn,-8.18833333333333
老人 书籍,4,36,老年健康照护蒋玲复旦大学出版社有限公司9787309172416 养生/保健,-10.235416666666671
老人 书籍,4,37,长寿的活法 冯塔纳教授之作 基于流行病学大数据的科学抗衰指南 科学的生活方式 教你保持旺盛的体力和脑力直到100岁 新华正版 华正版,-12.282499999999995
老人 书籍,4,38,【精装】老年食养食补食疗大全书正版中医家庭药膳保健书籍老年人健康饮食养生营养学食谱一日三餐书简单术后营养汤菜谱百病食疗,-14.329583333333336
老人 书籍,4,39,正版301医院营养专家 老年人饮食营养一本通 中老年人科学膳食营养搭配健康饮食 老年人营养误区调理老年病营养食谱菜谱制作 老年人饮食营养一本通,-16.37666666666666
老人 书籍,4,40,中老年病痛一扫光 国医养生堂 传世老偏方 书籍 中老年病痛一扫光 无规格,-18.423750000000002
老人 书籍,4,41,【全套4册】 土单方 +百病食疗大全+老偏方+中药养生治病 正版学,-20.470833333333328
老人 书籍,4,42,骨关节病老人家庭照护枕边书/家庭照护枕边书系列,-22.517916666666668
老人 书籍,4,43,营养学会书籍2023版中国居民膳食指南2024新编学龄儿童老年科普饮食营养食疗手册图谱人卫版科学膳食食分表标准宝塔饮辅食标准 饮食术,-24.56499999999999
老人 书籍,4,44,没有苟且哪有远方 成功励志书籍书排行榜人生哲学心理学心灵鸡汤提升自信提高情商的 没有苟且哪有远方 成功励志书 励志书,-26.61208333333333
老人 书籍,4,45,保富法 正版 聂云台著 财富不失的奥秘揭示财富传承的智慧 中国传统文化伦理道德教育 中华工商联合出版社9787515839677 保富法,-28.659166666666657
老人 书籍,4,46,【京东物流包邮+次日达】58岁，幸福的生活才刚刚开始,-30.706249999999997
老人 书籍,4,47,正版包邮老年人怎样才能更长寿给中国人的救护指南人体使用手册免疫功能案健康观念治疗血压高中医养生健康理疗老年人看的大字书正版,-32.75333333333334
老人 书籍,4,48,【京东物流包邮+次日达】居家养老解困记,-34.80041666666666
老人 书籍,4,49,【京东物流包邮+次日达】缓解腰痛这么练就对了 中老年大图大字版（人邮体育出品）,-36.847500000000004
老人 书籍,4,50,本草纲目中的对症食养方饮食养生疗法中医养生书烹饪协会中医养生大全中医基础理论中药学中草药书医学养生,-38.89458333333333
老人 书籍,5,1,来川英文原著分级阅读《老人与海》全新排版方式 中英注释对照 双语阅读课外读物 小学初中高中大学通用英语阅读名著 带音频 1本：与海,52.20062499999999
老人 书籍,5,2,会补的老人不生病 杨力 著 中国轻工业出版社【正版书】,50.460604166666656
老人 书籍,5,3,正版旧书快乐老年使用手册(晚年生活的快乐宝典，特别赠送适合老年人的运动详解图) 大隐 著 江苏人民,48.72058333333332
老人 书籍,5,4,五千年犹太文明史,46.98056249999999
老人 书籍,5,5,老年抑郁症的诊断及治疗：让老人欢乐地度过晚年生活,45.24054166666666
老人 书籍,5,6,老年人生理结构与机能,43.500520833333326
老人 书籍,5,7,二弩老人遗印（手工宣纸 彩色影印）/中国图书馆藏珍稀印谱丛刊·上海图书馆卷,41.76049999999999
老人 书籍,5,8,铁蹄下的江南名城-：常熟老人口述日军暴行,40.020479166666654
老人 书籍,5,9,半塘老人钤印(共2册)(精),38.28045833333333
老人 书籍,5,10,失能老人照护学,36.54043749999999
老人 书籍,5,11,清湘老人书画编年,34.80041666666666
老人 书籍,5,12,老人深度幸福纪——幸福颐养的100个故事,33.060395833333324
老人 书籍,5,13,柔力球/老年人科学健身指导丛书,31.32037499999999
老人 书籍,5,14,太乙统宗宝鉴,29.58035416666666
老人 书籍,5,15,当你老了：老年人行为说明书,27.840333333333326
老人 书籍,5,16,藏园老人手稿（全16册）2箱一套,26.100312499999994
老人 书籍,5,17,世界经典文学名著系列 全英文版 小王子+动物庄园+与海等（18册）,24.36029166666666
老人 书籍,5,18,自在余生——人生尾程面面观,22.62027083333333
老人 书籍,5,19,老年人合理用药（上海市老年教育普及教材）,20.880249999999997
老人 书籍,5,20,今古奇观（汉俄对照，节选）（全四册）,19.140229166666664
老人 书籍,5,21,老人与海,17.40020833333333
老人 书籍,5,22,老人与海：立体书典藏版,15.6601875
老人 书籍,5,23,暖暖的姜黄（儿童眼里的老人，老人心里的孩子。一老一少一条狗，身后是美丽的村庄和繁华的城市。）,13.920166666666667
老人 书籍,5,24,四大名著全套（大字注释版全本无删减共16册）学生阅读 西游记三国演义水浒传红楼梦,12.180145833333327
老人 书籍,5,25,中医助你过百寿--老年人家庭中医护理/全民大健康家庭中医护理攻略,10.440124999999995
老人 书籍,5,26,老年人健康用对药：老年人用药必知,8.700104166666662
老人 书籍,5,27,后浪插图珍藏版·小说名著（套装共12册） 红与黑+远大前程+傲慢与偏见+与海+月亮与六便士+巴黎圣母院+查第格+老实人+高龙巴+卡门+漂亮朋友+一生,6.96008333333333
老人 书籍,5,28,老年人营养与膳食（第二版）（新编21世纪高等职业教育精品教材·智慧健康养老服务与管理系列）,5.220062499999997
老人 书籍,5,29,治未病安享美好的晚年(老年人群未病防治)/中医治未病指导丛书,3.480041666666665
老人 书籍,5,30,讲给孩子的故宫里的明清史 清朝4为什么他自称“十全”？,1.7400208333333325
老人 读物,1,1,图说天下·国家地理系列：走遍中国图书书香节,100.0
老人 读物,1,2,新东方 老人与海(英文版) 英文原版 诺贝尔文学奖、普利策奖得主海明威代表作 含经典节选音频 全本无删减,96.66666666666667
老人 读物,1,3,老人与海 语文阅读推荐丛书 海明威 高一语文必读中小学生阅读指导目录高中语文必读课外阅读暑期阅读学生阅读人民文学出版社,93.33333333333333
老人 读物,1,4,喜马拉雅好声音老年陪伴机SE户外便携AI智能轻巧网络FM收音机4G语音播报多功能故事机音箱音响父母生日礼物,90.0
老人 读物,1,5,老人与海 人民文学出版社 原著正版,86.66666666666667
老人 读物,1,6,老人与海（中小学课外阅读 无障碍阅读）智慧熊图书,83.33333333333334
老人 读物,1,7,正版止学全集 文中子止学王通原著 智囊+素书+老人言+王阳明+易经全集 智囊全集白话文 国学经典书籍 为人处世古代谋略书 做人的智慧 中国古代国学,80.0
老人 读物,1,8,老人与海（新版）/经典译林（海明威代表作，著名翻译家黄源深译本）,76.66666666666666
老人 读物,1,9,老人与海（精装）全译本全译本海明威著世界经典文学名著中小学生课外阅读狂欢节,73.33333333333334
老人 读物,1,10,老人与海/爱阅读中小学儿童文学名著阅读海明威诺贝尔文学奖快乐读书吧,70.0
老人 读物,1,11,全20册世界二十大名著全套正版原著瓦尔登湖童年钢铁是怎样炼成的简爱海底两万里汤姆索亚历险记与海鲁滨逊漂流记世界名著青少年中课外,66.66666666666667
老人 读物,1,12,【2册】老人与海+海底两万年 少儿无障碍阅读小学生三四五六年级课外阅读书籍世界经典名著故事书,63.33333333333333
老人 读物,1,13,世界名著儿童文学老人与海鲁滨孙漂流记汤姆索亚历记童年钢铁是怎样炼成的老师推荐一二三年级课外阅读书7-8-10岁儿童 二年级课外阅读书全10,60.0
老人 读物,1,14,老人与海英文原版 海明威原著正版 附赠词汇注解手册 扫码听音频 中小学生课外阅推荐高中必读书目英语小说 世界经典文学名著 The Old Man and the Sea,56.666666666666664
老人 读物,1,15,老人与海英文版书籍 英文原版小说 附赠词汇注解手册 扫码听音频 全英文版畅销小说阅读 世界经典文学名著,53.333333333333336
老人 读物,1,16,世界名著小说全10册老人与海假如给我三天光明名人传二三年级课外阅读必读书籍7-10岁注音版儿童一二三四年级小学生课外书籍儿童文学阅,50.0
老人 读物,1,17,老人与海 青少版,46.666666666666664
老人 读物,1,18,诺贝尔文学奖大师经典作品：老人与海 中小学生阅读经典名著 语文写作提升 儿童文学课外 三年级四年级五年级六年级学校推荐暑期阅读书目,43.333333333333336
老人 读物,1,19,十大文学经典名著（10册）假如给我三天光明+钢铁是怎样炼成的+小王子+傲慢与偏见+瓦尔登湖+爱的教育+了不起的盖茨比+鲁滨逊漂流记+格列佛游记+老,40.0
老人 读物,1,20,[注音版]老人与海 国际获奖小说 注音彩绘版小学生名著阅读课外书小学必读儿童文学系列一二三年级课外阅读书籍,36.66666666666667
老人 读物,1,21,正版 老人与海英汉对照注释版 原版中英对照双语 海明威 初高中英文版原版 世界经典文学名著 与海 英汉对照注释版,33.333333333333336
老人 读物,1,22,老人与海 中小学生课外阅读书籍世界经典文学名著青少年儿童故事书名家名译原汁原味读原著,30.000000000000004
老人 读物,1,23,老人的智慧 小学语文教材配套课外阅读书目 附真题 赠考点小册子,26.66666666666667
老人 读物,1,24,老人与海 学生课外阅读指导丛书 附带阅读耐力记录表 商务印书馆,23.33333333333333
老人 读物,1,25,小王子书老人与海动物庄园欧亨利傲慢与偏见月亮与六便士了不起的盖茨比假如给我三天光明爱丽丝漫游鲁滨逊漂流记瓦尔登湖 (附赠词汇注解手册),19.999999999999996
老人 读物,1,26,老人与海 海明威正版原著经典世界文学名著小说四五六年级小学生初中生高中生课外阅读书籍,16.666666666666664
老人 读物,1,27,【2册】朝花夕拾+老人与海 经典世界文学名著小说四五六年级小学生初中高中生学校老师推荐课外阅读书籍,13.33333333333333
老人 读物,1,28,正版止学全集 文中子止学王通原著 智囊+素书+老人言+王阳明+易经全集 智囊全集白话文 国学经典书籍 为人处世古代谋略书 做人的智慧 中国古代国学,9.999999999999998
老人 读物,1,29,伊索寓言 来川英文原著分级足量阅读 初中高中生英语课外 英文书籍中英双语版书籍英语书籍双语英语小说 可选套餐：童话故事 短篇小说,6.666666666666665
老人 读物,1,30,小王子+老人与海+月亮与六便士（英文版原版 世界经典文学名著 大学生初中生英语畅销小说课外 套装共3册）,3.3333333333333326
老人 读物,2,1,全8册｜英文版原版小王子傲慢与偏见三天光明动物庄园鲁滨逊盖茨比与海爱丽丝世界经典名著英语阅读书籍,85.0
老人 读物,2,2,老人与海 彩图注音版 一二三四年级5-6-7-8-9岁小学生课外阅读经典 儿童文学无障碍世界名,82.16666666666667
老人 读物,2,3,老人与海（视频讲解版）中小学生课外阅读书籍文学世界名著 无障碍阅读 考点导读+阅读方法+名师赏读 中小学生语文拓展阅读丛书,79.33333333333333
老人 读物,2,4,伊索寓言 来川英文原著分级足量阅读 初中高中生英语课外 英文书籍中英双语版书籍英语书籍双语英语小说 可选套餐：童话故事 短篇小说,76.5
老人 读物,2,5,【正版包邮】最好的晚年 丹尼尔·j.列维廷 著 从科普的角度为读者讲解晚年的生活是怎样的，老年人会面临哪些困难，让我们以更细致体贴的心态去,73.66666666666667
老人 读物,2,6,伊索寓言 来川英文原著分级足量阅读 初中高中生英语课外 英文书籍中英双语版书籍英语书籍双语英语小说 可选套餐：童话故事 短篇小说,70.83333333333334
老人 读物,2,7,老人与海 复活 童年 月亮与六便士文学经典小说必读中学生初中生课外阅读 【精装硬壳】悲惨世界,68.0
老人 读物,2,8,林达作品系列：扫起落叶好过冬,65.16666666666666
老人 读物,2,9,老人与海 名家全译本 中小学生无障碍阅读 外国名著 余秋雨寄语 梅子涵作序推荐 作家出版社出版,62.333333333333336
老人 读物,2,10,小王子+老人与海+假如给我三天光明(套装共3册) 中英文对照双语/世界经典文学名著,59.49999999999999
老人 读物,2,11,非洲民间故事/快乐读书吧五年级上册 爱阅读儿童文学名著无障碍阅读 的智慧,56.66666666666667
老人 读物,2,12,小王子+老人与海+傲慢与偏见 英文版原版 世界经典文学名著阅读 英语小说课外（套装全3册）,53.83333333333333
老人 读物,2,13,一梦漫言全本全注全译谦德国学文库 明末清初高僧见月的口述自传 佛学经典文集书籍,51.0
老人 读物,2,14,【全4册】老人与海+复活+大卫科波菲尔+瓦尔登湖 世界名著小说学生课外阅读书籍,48.166666666666664
老人 读物,2,15,老人与海原著京东正版图书 课外阅读必读书籍推荐 世界名著初中小学生六年级课外书青少年畅销书 适合中学生看的小升初老师中小学教辅儿童,45.333333333333336
老人 读物,2,16,世界十大名著书籍全套格列佛游记 老人与海 巴黎圣母院红与黑七年级下册经典文学初中高中生课外阅读书JST,42.5
老人 读物,2,17,原著青少版社欧洲民间故事聪明的牧羊人中国民间故事田螺姑娘非洲民间故事的智慧必读五年级必读书目课外阅读,39.666666666666664
老人 读物,2,18,快乐读书吧五年级上下册田螺姑娘老人的智慧课外书人教版西游记三国演义红楼梦水浒传四大名著全套原著正版人民教育出版社小学生版 水浒传-人教,36.833333333333336
老人 读物,2,19,科波菲尔复活老人与海百年孤独乡土中国正版全译本原著无删减初中生高一高二高中生必读书目书籍推荐阅读训练课外小说经典文学名著 【5本推荐】,34.0
老人 读物,2,20,正版止学全集 文中子止学王通原著 智囊+素书+老人言+王阳明+易经全集 智囊全集白话文 国学经典书籍 为人处世古代谋略书 做人的智慧 中国古代国学,31.166666666666668
老人 读物,2,21,【正版包邮】最好的晚年 丹尼尔·j.列维廷 著 从科普的角度为读者讲解晚年的生活是怎样的，老年人会面临哪些困难，让我们以更细致体贴的心态去,28.333333333333336
老人 读物,2,22,老人与海 复活 童年 月亮与六便士文学经典小说必读中学生初中生课外阅读 【精装硬壳】战争与和平,25.500000000000004
老人 读物,2,23,中老年人学唱歌-零基础自学七天入门与提高,22.66666666666667
老人 读物,2,24,世界十大经典名著：百万英镑+简爱+与海+复活+巴黎圣母院+瓦尔登湖+呼啸山庄+钢铁+哈姆莱特+了不起的盖茨比,19.83333333333333
老人 读物,2,25,老人与海+少年维特之烦恼+假如给我三天光明+巴黎圣母院+童年+皮特潘 金银岛（6册）名家名译,16.999999999999996
老人 读物,2,26,【善品堂藏书】《止学》文中子止学王通原著智囊素书老人言王阳明易经谋略智慧国学典籍哲学,14.166666666666664
老人 读物,2,27,老人与海 读名著学英语 中英文对照阅读世界经典名著阅读中英文双语版英文版名著世界经典文学名著阅读畅销小说中英双语外国名著世界名著阅,11.33333333333333
老人 读物,2,28,全13册｜中英文对照双语版小王子书正版与海动物庄园欧亨利集新月飞鸟了不起的盖茨比三天光明等世,8.499999999999998
老人 读物,2,29,老年人学手机摄影（图解+大字+视频）,5.666666666666665
老人 读物,2,30,老年人防诈骗手册,2.8333333333333326
老人 读物,3,1,【人教社】五年级上册快乐读书吧全套田螺姑娘聪明的牧羊人的智慧课外书阅读中国民间故事人民教育出版社曹文轩陈先云 SZP 人教版5册装【读,72.24999999999999
老人 读物,3,2,老人与海 复活 童年 月亮与六便士文学经典小说必读中学生初中生课外阅读 【精装硬壳】假如给我三天光明,69.84166666666665
老人 读物,3,3,老人与海 复活 童年 月亮与六便士文学经典小说必读中学生初中生课外阅读 【精装硬壳】雾都孤儿,67.43333333333332
老人 读物,3,4,老人与海 复活 童年 月亮与六便士文学经典小说必读中学生初中生课外阅读 【精装硬壳】基督山伯爵,65.02499999999999
老人 读物,3,5,老人与海 复活 童年 月亮与六便士文学经典小说必读中学生初中生课外阅读 【精装硬壳】红与黑,62.61666666666666
老人 读物,3,6,全套10册世界十大名著正版全套原著 简爱书籍 海底两万里 与海 复活 童年 月亮与六便士文学经典小说必读中学生初中生课外阅读 【精装硬壳】飘,60.20833333333332
老人 读物,3,7,河南经典豫剧U盘MP4高清戏曲卡老人看戏机黄梅戏TF卡优盘戏曲大全 16G戏曲综合1088首 看的 0.1KB 优盘,57.79999999999999
老人 读物,3,8,乐乐趣 绘本 亲亲儿童图书绘本3-6岁 早教启蒙认知励志成长 睡前故事书 儿童绘本故事 长大我要当,55.39166666666665
老人 读物,3,9,老人与海（英汉双语版）,52.98333333333333
老人 读物,3,10,他们从未忘记你：为阿尔茨海默病制造欢乐时光,50.57499999999999
老人 读物,3,11,老人与海 小王子 小学生课外阅读书籍三四五六年级必读世界经典文学名著青少年儿童故事书 名师精读版,48.166666666666664
老人 读物,3,12,(英汉对照注释版)小王子+老人与海(套装共2册) /世界经典文学名著畅销小说,45.75833333333332
老人 读物,3,13,世界经典文学名著畅销小说课外读物：(全英文原版)小王子+与海+动物庄园(套装共3册),43.34999999999999
老人 读物,3,14,童趣文学名著阅读·老人与海,40.941666666666656
老人 读物,3,15,老人与海 《语文》推荐阅读丛书 中小学课外阅读 无障碍阅读 经典,38.533333333333324
老人 读物,3,16,老人与海/优等生必读文库,36.12499999999999
老人 读物,3,17,非洲民间故事 快乐读书吧五年级上推荐书目 的智慧 一个吹号手 贪心的木匠 名师教你读经典系列,33.71666666666666
老人 读物,3,18,小王子+老人与海英文版书籍 全英文原版畅销小说阅读 世界经典文学名著(全2册),31.30833333333333
老人 读物,3,19,老人与海+青鸟+花未眠+贝多芬传+小银和我+黑塞童话集（彩绘诺贝尔系列：全6册，诺贝尔奖得主代表作，高清全彩印刷）,28.899999999999995
老人 读物,3,20,小王子+老人与海 英文版书籍 全英文原版畅销小说阅读 世界经典文学名著(套装全2册),26.491666666666664
老人 读物,3,21,全11册｜中英文对照双语版小王子与海动物庄园欧亨利短篇小说新月飞鸟盖茨比三天光明等世界名著同,24.083333333333332
老人 读物,3,22,全10册丨中英文双语版小王子书老人与海盖茨比三天光明安徒生格林童话伊索动物庄园等中小学课外 推荐阅读,21.675
老人 读物,3,23,小王子+老人与海+月亮与六便士 英文版原版 世界经典文学名著 英语畅销小说课外 （套装全3册）,19.266666666666666
老人 读物,3,24,【全3册】老人与海+假如给我三天光明+小王子 青少年课外名著阅读 文学经典原著正版课外书籍,16.858333333333327
老人 读物,3,25,【2册】 老人与海+骆驼祥子 初高中青少年课外阅读经典名著小说书籍,14.449999999999994
老人 读物,3,26,老人与海（海明威经典精装名著，中小学课外阅读推荐，直译全译本完整无删减，含珍贵插画）,12.04166666666666
老人 读物,3,27,【全2册】漫画了凡四训+漫画老人言 改变命运的名著明辨善恶改过迁善 不立文字的规矩读智慧,9.63333333333333
老人 读物,3,28,【全3册】感悟人生+老人言+人生哲理枕边书 一句话点亮人生心态认识为人处世经典励志 阅读狂欢节 书香节 阅读节,7.224999999999997
老人 读物,3,29,【赠音频英汉对照注释版】老人与海双语英文原版正版小学无删减 经典世界名著小说足本英汉对照双语版-振宇书虫,4.816666666666665
老人 读物,3,30,小学生世界名著阅读全套国际大奖儿童文学小王子书海底两万里与海我爱读名著一二三年级课外书必读带拼音的经典儿童7-10岁书籍格列佛游,2.4083333333333323
老人 读物,4,1,老人与海 中英对照注释版双语书 同步音频英文原版未删减经典文学小说书籍 中小学课外阅读推荐 世界名著畅销小说,61.412499999999994
老人 读物,4,2,五年级上册人教版快乐读书吧全套田螺姑娘的智慧聪明的牧羊人 五年级快乐读书吧上册套装,59.36541666666666
老人 读物,4,3,正版包邮 小故事大智慧 漫画图解老人言心灵鸡汤人生哲理枕边书成功励志青春励志书籍课外 【2册】小故事大智慧+老人言 保证正版-现货速发,57.31833333333333
老人 读物,4,4,老人与海正版海明威原著青少年版9-12-15岁4-6年级小升初中生文学世界名著中小学生课外阅读书籍四五六年级和 正版,55.271249999999995
老人 读物,4,5,老人与海 复活 童年 月亮与六便士文学经典小说必读中学生初中生课外阅读 【精装硬壳】格兰特船长的儿女,53.22416666666666
老人 读物,4,6,老人与海 复活 童年 月亮与六便士文学经典小说必读中学生初中生课外阅读 【精装硬壳】神秘岛,51.17708333333333
老人 读物,4,7,老人与海 复活 童年 月亮与六便士文学经典小说必读中学生初中生课外阅读 【精装硬壳】月亮与六便士,49.129999999999995
老人 读物,4,8,老人与海 复活 童年 月亮与六便士文学经典小说必读中学生初中生课外阅读 【精装硬壳】呼啸山庄,47.082916666666655
老人 读物,4,9,金刚经精装本注音版诵读本32开大字简体金刚般若波罗蜜经老年人用结缘,45.035833333333336
老人 读物,4,10,黑皮系列课外阅读：老人与海（诺贝尔文学奖得主的传世佳作）高中阅读,42.988749999999996
老人 读物,4,11,老人与海,40.94166666666667
老人 读物,4,12,[美绘版] 老人与海 学生版无障碍阅读名师点评美绘插图学校班主任老师推荐学生经典名著课外阅读书 人生必读书系列,38.89458333333333
老人 读物,4,13,老人与海（英汉双语经典珍藏） 小说,36.8475
老人 读物,4,14,小王子+老人与海+动物庄园 全英文原版 课外（全3册、扫码赠音频),34.80041666666666
老人 读物,4,15,老人与海 中文版 中小学课外阅读 世界经典文学名著,32.75333333333333
老人 读物,4,16,三天光明+小王子+老人与海 全英文版 （全3册 扫码赠音频),30.706249999999997
老人 读物,4,17,老人与海 新版 经典名著 大家名译（ 无障碍阅读 全译本平装）,28.659166666666664
老人 读物,4,18,小王子+动物庄园+老人与海+泰戈尔诗选 中英对照注释版（全4册、扫码赠音频),26.61208333333333
老人 读物,4,19,老人与海+三天光明+盖茨比+1984 全英文版课外（全4册）,24.564999999999998
老人 读物,4,20,小王子+老人与海+新月飞鸟集+盖茨比+三天光明+安徒生+格林童话+伊索寓言+动物庄园/中英文对照双语·世界名著 中小学青少年课外 推荐阅读(,22.517916666666668
老人 读物,4,21,智力冲关·思维训练50个惊奇——圣诞的国度,20.470833333333335
老人 读物,4,22,语文必读书目：老人与海,18.423750000000002
老人 读物,4,23,秘密花园 老人与海 淘气包日记 沙乡年鉴 人类群星闪耀时 名家名译进校园（套装全五册）精装,16.37666666666667
老人 读物,4,24,老人与海正版原著无删减 世界名著 中小学生课外推荐阅读丛书（随书赠名著导读+名师小升初考试题训练）,14.329583333333328
老人 读物,4,25,中小学生阅读文库：老人与海（诺贝尔文学奖得主的传世佳作）高中阅读,12.282499999999995
老人 读物,4,26,老人与海/经典名著精读与精练,10.235416666666664
老人 读物,4,27,小学生课外阅读经典书系 老人与海 注音美绘版,8.18833333333333
老人 读物,4,28,经典老人言：让你受益一生的老话（新版）,6.141249999999998
老人 读物,4,29,老人与海,4.094166666666665
老人 读物,4,30,健康基因的开关：来自超百岁老人研究项目成果 健康长寿新理念 拥有高质量的身心健康 哈佛大学乔治·丘奇作序 《谷物大脑》作者推荐,2.0470833333333327
老人 读物,5,1,艾青诗选诗集海底两万里老人与海呼兰河传巴黎圣母院世说新语初中生版七八九年级中小学生课外阅读书目 艾青诗选,52.20062499999999
老人 读物,5,2,精选20册 小学生课外阅读书籍注音版老师推荐一二三年级课外书的儿童畅销书经典名著7-10岁课外童年书昆虫记与海,50.460604166666656
老人 读物,5,3,高中课外阅读书籍必读正版书老人与海巴黎圣母院复活高老头唐吉坷德呐喊原著推荐适合高中生看的名著课外书乡土中国高一必读人民 人民文学出版,48.72058333333332
老人 读物,5,4,玩转智能手机 开启老年幸福生活 第二版 智能手机基本设置信息通讯网购娱乐让老年人更好使用手机科普书籍,46.98056249999999
老人 读物,5,5,失能老年人居家照护者_李善玲刘浩责_刘芳_曾尔亢湖北科学技术出版社9787570611706 科普读,45.24054166666666
老人 读物,5,6,HKNL粤语讲古卡古龙金庸武侠小说全集郑达讲古粤语古仔粤语评书卡 粤语评书卡，没有机器,43.500520833333326
老人 读物,5,7,老人与海正版原著正版世界名著学校七八九年级老师初中生课外名著书籍初一二三年级彩插世界名著,41.76049999999999
老人 读物,5,8,快乐读书吧五年级上下册田螺姑娘老人的智慧课外书人教版西游记三国演义红楼梦水浒传四大名著全套原著正版人民教育出版社小学生版 五年级快乐,40.020479166666654
老人 读物,5,9,【新华书店全新正版】新东方 老人与海 英文原版 诺贝尔文学奖、普利策奖得主海明威代表作 含经,38.28045833333333
老人 读物,5,10,正版 老人与海 海明威 著 人民文学出版社 李育 中文版原著无删减统编语文阅读六年级初中生高中高一课外经典阅读文学名著 人民文学出版社：,36.54043749999999
老人 读物,5,11,高中版-老人与海-高中必读,34.80041666666666
老人 读物,5,12,【单本套装自选】高中生原著无删减版名著阅读课程化丛书 红楼梦三国演义乡土中国瓦尔登湖茶馆论语复活堂吉诃德与海哈姆莱特呐喊彷徨谈美,33.060395833333324
老人 读物,5,13,【单本套装自选】高中生原著无删减版名著阅读课程化丛书 红楼梦三国演义乡土中国瓦尔登湖茶馆论语复活堂吉诃德与海哈姆莱特呐喊彷徨谈美,31.32037499999999
老人 读物,5,14,【单本套装自选】高中生原著无删减版名著阅读课程化丛书 红楼梦三国演义乡土中国瓦尔登湖茶馆论语复活堂吉诃德与海哈姆莱特呐喊彷徨谈美,29.58035416666666
老人 读物,5,15,【单本套装自选】高中生原著无删减版名著阅读课程化丛书 红楼梦三国演义乡土中国瓦尔登湖茶馆论语复活堂吉诃德与海哈姆莱特呐喊彷徨谈美,27.840333333333326
老人 读物,5,16,人民文学出版社高一高二高三全套16册高中课外阅读书籍必读正版书与海巴黎圣母院复活高老头唐吉坷德呐喊原著推荐适合高中生看的书 高一必,26.100312499999994
老人 读物,5,17,高中课外阅读书籍必读正版书老人与海巴黎圣母院复活高老头唐吉坷德呐喊原著推荐适合高中生看的名著课外书乡土中国高一必读人民 人民文学出版,24.36029166666666
老人 读物,5,18,正版新书】老人与海 语文阅读推荐丛书 海明威 高一语文必读中小学生阅读指导目录高中语文阅读课外阅读暑期阅读学生阅读人民文学出版社,22.62027083333333
老人 读物,5,19,【当当】当当老人与海 高中推荐名著阅读 名著阅读课程化丛书,20.880249999999997
老人 读物,5,20,老人与海 青少版 《青少年推荐阅读丛书》编委会 编 书籍,19.140229166666664
老人 读物,5,21,人民教育出版社乡土中国高一必读论语阅读高中三国演义堂吉诃德人间词话呐喊彷徨与海瓦尔登湖复活茶馆巴黎圣母院哈姆莱特谈美高二高三名,17.40020833333333
老人 读物,5,22,来川英文原著分级足量阅读 四大名家短篇小说 5本：汤姆索亚+短篇小说+与海+伊索寓言+童话,15.6601875
